No.,Player,Team,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ball_Ave,Econ,SR,four_wkt,five_wkt,Ct,St
113,WP Saha,(Sunrisers Hyderabad),4,-,-,-,-,-,-,-,-,-,-,-,2,1
117,SV Samson,(Rajasthan Royals),14,-,-,-,-,-,-,-,-,-,-,-,9,2
125,RG Sharma,(Mumbai Indians),12,-,-,-,-,-,-,-,-,-,-,-,6,0
126,PP Shaw,(Delhi Capitals),13,-,-,-,-,-,-,-,-,-,-,-,4,0
128,Shubman Gill,(Kolkata Knight Riders),14,-,-,-,-,-,-,-,-,-,-,-,7,0
129,RK Singh,(Kolkata Knight Riders),1,-,-,-,-,-,-,-,-,-,-,-,1,0
130,SPD Smith,(Rajasthan Royals),14,-,-,-,-,-,-,-,-,-,-,-,2,0
136,SS Tiwary,(Mumbai Indians),7,-,-,-,-,-,-,-,-,-,-,-,1,0
137,RA Tripathi,(Kolkata Knight Riders),11,-,-,-,-,-,-,-,-,-,-,-,3,0
141,RV Uthappa,(Rajasthan Royals),12,-,-,-,-,-,-,-,-,-,-,-,3,0
143,M Vijay,(Chennai Super Kings),3,-,-,-,-,-,-,-,-,-,-,-,0,0
146,SR Watson,(Chennai Super Kings),11,-,-,-,-,-,-,-,-,-,-,-,2,0
149,SA Yadav,(Mumbai Indians),16,-,-,-,-,-,-,-,-,-,-,-,8,0
