Player_name,NATIONALITY,team_name,international_matches,ipl_matches_older,ipl_matches_New,international_Inns,ipl_Inns_older,ipl_Inns_New,international_Overs,ipl_Overs_older,ipl_Overs_New,international_Mdns,ipl_Mdns_older,ipl_Mdns_New,international_Runs,ipl_Runs_older,ipl_Runs_New,international_Wkts,ipl_Wkts_older,ipl_Wkts_New,international_Ave,ipl_Ave_older,ipl_Ave_New,international_Econ,ipl_Econ_older,ipl_Econ_New,international_SR,ipl_SR_older,ipl_SR_New,international_four,ipl_four_older,ipl_four_New,international_five,ipl_five_older,ipl_five_New,international_dream_11_points,ipl_dream_11_points_older,ipl_dream_11_points_New,international_consistency,ipl_consistency_older,ipl_consistency_New,dream_11_points_final_points
FduPlessis,INT,CSK,19,53,31,0,1,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,6,250,218,0,250,inf,75
AFMilne,INT,MI,6,5,0,6,5,0,19.4,18,0,0,0,0,158,177,0,6,4,0,26.33,87.66,0,8.03,20.32,0,19.6,0,0,0,0,0,0,0,0,150,138,6,25,27.6,inf,73.98
SAYadav,IND,MI,2,55,46,0,1,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,224,218,0,224,inf,67.2
KCCariappa,IND,RR,0,10,1,0,10,1,0,34,2,0,0,0,0,314,0,0,8,0,0,112.75,0,0,31.81,17,0,68.5,0,0,0,0,0,0,0,0,218,0,0,21.8,0,65.4
AbdulSamad,IND,SRH,0,0,12,0,0,3,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.71,0,0,0,0,0,0,0,0,0,0,0,59,0,0,19.67,59
ShahbazAhmed,IND,RCB,0,0,2,0,0,2,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0,58,0,0,29,58
SSandeepWarrier,IND,KKR,0,0,4,0,0,4,0,0,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,18.41,0,0,0,0,0,0,0,0,0,0,0,54,0,0,13.5,54
JRHazlewood,INT,CSK,4,0,3,4,0,3,16,0,10,0,0,0,126,0,0,2,0,1,63,0,0,7.87,0,6.4,48,0,0,0,0,0,0,0,0,50,0,27,12.5,0,9,33.9
SachinBaby,IND,RCB,0,18,0,0,2,0,0,1.4,0,0,0,0,0,8,0,0,2,0,0,4,0,0,4.8,0,0,5,0,0,0,0,0,0,0,0,108,6,0,54,inf,32.4
LSLivingstone,INT,RR,2,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,6,0,32,0,0,32,32
