"","Player","Span","Mat","Inns","Overs","Mdns","Runs","Wkts","BBI","Ave","Econ","SR","four","five"
"1268","KM Jadhav (INDIA)","2016-2017","7","-","-","-","-","-","-","-","-","-","-","-"
"1269","S Jamil (Belg)","2019-2020","6","-","-","-","-","-","-","-","-","-","-","-"
"1270","Jatinder Singh (OMAN)","2019-2020","17","-","-","-","-","-","-","-","-","-","-","-"
"1271","Javed Ahmadi (AFG)","2017-2017","1","-","-","-","-","-","-","-","-","-","-","-"
"1272","JW Jenner (JER)","2019-2019","17","-","-","-","-","-","-","-","-","-","-","-"
"1273","C Jonker (SA)","2018-2018","2","-","-","-","-","-","-","-","-","-","-","-"
"1274","S Jora (NEPAL)","2019-2019","6","-","-","-","-","-","-","-","-","-","-","-"
"1275","HJ Jordaan (THAI)","2019-2020","8","-","-","-","-","-","-","-","-","-","-","-"
"1276","GJ Joseph (Blz)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1277","K Joshi (Aut)","2019-2019","5","-","-","-","-","-","-","-","-","-","-","-"
"1278","G Kaltongga (VAN)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1279","Kamran Akmal (PAK)","2017-2017","4","-","-","-","-","-","-","-","-","-","-","-"
"1280","TS Kamunhukamwe (ZIM)","2020-2021","3","-","-","-","-","-","-","-","-","-","-","-"
"1281","CK Kapugedera (SL)","2016-2017","10","-","-","-","-","-","-","-","-","-","-","-"
"1282","IA Karim (KENYA)","2019-2019","9","-","-","-","-","-","-","-","-","-","-","-"
"1283","Karim Sadiq (AFG)","2018-2018","2","-","-","-","-","-","-","-","-","-","-","-"
"1284","KD Karthik (ICC/INDIA)","2017-2019","23","-","-","-","-","-","-","-","-","-","-","-"
"1285","I Katzarski (BUL)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1286","HB Kayondo (UGA)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1287","Khalid Latif (PAK)","2016-2016","6","-","-","-","-","-","-","-","-","-","-","-"
"1288","UT Khawaja (AUS)","2016-2016","6","-","-","-","-","-","-","-","-","-","-","-"
"1289","Khawar Zafar (Saudi)","2020-2020","2","-","-","-","-","-","-","-","-","-","-","-"
"1290","Khizer Ahmed (NOR)","2019-2019","5","-","-","-","-","-","-","-","-","-","-","-"
"1291","N Khosla (MLT)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1292","Khurram Nawaz (OMAN)","2017-2020","19","-","-","-","-","-","-","-","-","-","-","-"
"1293","TCR Kimber (GUE)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1294","BA King (WI)","2019-2020","11","-","-","-","-","-","-","-","-","-","-","-"
"1295","NR Kirton (CAN)","2019-2019","5","-","-","-","-","-","-","-","-","-","-","-"
"1296","M Klinger (AUS)","2017-2017","3","-","-","-","-","-","-","-","-","-","-","-"
"1297","N Knights (IOM)","2020-2020","1","-","-","-","-","-","-","-","-","-","-","-"
"1298","EB Knowles (CZK-R)","2019-2020","11","-","-","-","-","-","-","-","-","-","-","-"
"1299","MF Koc (TKY)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1300","JP Kotze (NAM)","2019-2019","12","-","-","-","-","-","-","-","-","-","-","-"
"1301","HG Kuhn (SA)","2017-2017","2","-","-","-","-","-","-","-","-","-","-","-"
"1302","Kuldeep Singh (PHI)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1303","T Langa (VAN)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1304","TWM Latham (NZ)","2017-2017","1","-","-","-","-","-","-","-","-","-","-","-"
"1305","E Lewis (WI)","2016-2021","35","-","-","-","-","-","-","-","-","-","-","-"
"1306","Liton Das (BDESH)","2017-2020","26","-","-","-","-","-","-","-","-","-","-","-"
"1307","LS Livingstone (ENG)","2017-2017","2","-","-","-","-","-","-","-","-","-","-","-"
"1308","I Liyanage (QAT)","2020-2020","7","-","-","-","-","-","-","-","-","-","-","-"
"1309","K Loday (BHU)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1310","L Louwrens (NAM)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1311","CA Lynn (AUS)","2018-2018","13","-","-","-","-","-","-","-","-","-","-","-"
"1312","BR McDermott (AUS)","2018-2019","12","-","-","-","-","-","-","-","-","-","-","-"
"1313","NJ Maddinson (AUS)","2018-2018","4","-","-","-","-","-","-","-","-","-","-","-"
"1314","JN Malan (SA)","2019-2021","5","-","-","-","-","-","-","-","-","-","-","-"
"1315","JS Malhotra (USA)","2019-2019","6","-","-","-","-","-","-","-","-","-","-","-"
"1316","G Malla (NEPAL)","2018-2020","16","-","-","-","-","-","-","-","-","-","-","-"
"1317","G Manan (ROM)","2019-2020","6","-","-","-","-","-","-","-","-","-","-","-"
"1318","Mandeep Singh (INDIA)","2016-2016","3","-","-","-","-","-","-","-","-","-","-","-"
"1319","A Manepalli (LUX)","2020-2020","2","-","-","-","-","-","-","-","-","-","-","-"
"1320","A Manousis ()","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1321","Manpreet Singh (ITA)","2019-2019","8","-","-","-","-","-","-","-","-","-","-","-"
"1322","Manpreet Singh (SGP)","2019-2020","15","-","-","-","-","-","-","-","-","-","-","-"
"1323","AK Markram (SA)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1324","XM Marshall (USA)","2019-2019","7","-","-","-","-","-","-","-","-","-","-","-"
"1325","JC Martin (GUE)","2020-2020","1","-","-","-","-","-","-","-","-","-","-","-"
"1326","T Maruma (ZIM)","2016-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1327","H Masakadza (ZIM)","2016-2019","19","-","-","-","-","-","-","-","-","-","-","-"
"1328","I Master (Botsw)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1329","V Mbazo (Botsw)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1330","A McAuley (IOM)","2020-2020","1","-","-","-","-","-","-","-","-","-","-","-"
"1331","SS McKechnie (HKG)","2019-2020","19","-","-","-","-","-","-","-","-","-","-","-"
"1332","GP Meade (ITA)","2019-2019","8","-","-","-","-","-","-","-","-","-","-","-"
"1333","M Meade (Chile)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1334","J Mees (LUX)","2019-2020","8","-","-","-","-","-","-","-","-","-","-","-"
"1335","AS Mehmi ()","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1336","Mehran Dorri (Iran)","2020-2020","1","-","-","-","-","-","-","-","-","-","-","-"
"1337","Mehran Siasar (Iran)","2020-2020","1","-","-","-","-","-","-","-","-","-","-","-"
"1338","BKG Mendis (SL)","2016-2020","26","-","-","-","-","-","-","-","-","-","-","-"
"1339","JH Mensah (Ghana)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1340","Mian Mehmood (PORT)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1341","Michael Nazir (MLT)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1342","DA Miller (SA/World)","2016-2021","39","-","-","-","-","-","-","-","-","-","-","-"
"1343","S Mills (IOM)","2020-2020","1","-","-","-","-","-","-","-","-","-","-","-"
"1344","Mirza Ahsan (Aut)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1345","Mohamed Azzam (Mald)","2019-2020","10","-","-","-","-","-","-","-","-","-","-","-"
"1346","Mohamed Rishwan (Mald)","2019-2020","14","-","-","-","-","-","-","-","-","-","-","-"
"1347","Mohammad Mithun (BDESH)","2016-2020","6","-","-","-","-","-","-","-","-","-","-","-"
"1348","Mohammad Naim (BDESH)","2019-2020","6","-","-","-","-","-","-","-","-","-","-","-"
"1349","Mohammed Rizlan (QAT)","2019-2020","22","-","-","-","-","-","-","-","-","-","-","-"
"1350","Mohammad Rizwan (PAK)","2016-2021","20","-","-","-","-","-","-","-","-","-","-","-"
"1351","Mohammad Shahzad (AFG)","2016-2018","20","-","-","-","-","-","-","-","-","-","-","-"
"1352","Mohammed Nurji (MWI)","2019-2019","6","-","-","-","-","-","-","-","-","-","-","-"
"1353","Mohammed Sameer (BHR)","2020-2020","2","-","-","-","-","-","-","-","-","-","-","-"
"1354","AK Mohan (Fin)","2019-2019","5","-","-","-","-","-","-","-","-","-","-","-"
"1355","PJ Moor (ZIM)","2016-2019","15","-","-","-","-","-","-","-","-","-","-","-"
"1356","VV Morea (PNG)","2017-2017","1","-","-","-","-","-","-","-","-","-","-","-"
"1357","EJG Morgan (ENG)","2016-2021","44","-","-","-","-","-","-","-","-","-","-","-"
"1358","M Mosehle (SA)","2017-2017","7","-","-","-","-","-","-","-","-","-","-","-"
"1359","K Motlhanka (Botsw)","2019-2019","7","-","-","-","-","-","-","-","-","-","-","-"
"1360","Muaviath Ganee (Mald)","2019-2019","5","-","-","-","-","-","-","-","-","-","-","-"
"1361","Mudassar Muhammad (GER)","2019-2019","7","-","-","-","-","-","-","-","-","-","-","-"
"1362","Muhammad Amir (MAL)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1363","Muhammad Awais ()","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1364","Muhammad Hamayun (Saudi)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1365","Muhammad Khurram (MWI)","2019-2019","5","-","-","-","-","-","-","-","-","-","-","-"
"1366","Muhammad Usman (UAE)","2016-2020","28","-","-","-","-","-","-","-","-","-","-","-"
"1367","Muhammad Younis (BHR)","2020-2020","3","-","-","-","-","-","-","-","-","-","-","-"
"1368","Mukhtiar Singh (ESP)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1369","C Munoz-Mills (ESP)","2019-2020","11","-","-","-","-","-","-","-","-","-","-","-"
"1370","HG Munsey (SCOT)","2017-2019","25","-","-","-","-","-","-","-","-","-","-","-"
"1371","G Murali (CRC)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1372","TK Musakanda (ZIM)","2018-2021","7","-","-","-","-","-","-","-","-","-","-","-"
"1373","Mushfiqur Rahim (BDESH)","2016-2020","32","-","-","-","-","-","-","-","-","-","-","-"
"1374","R Mutumbami (ZIM)","2016-2021","12","-","-","-","-","-","-","-","-","-","-","-"
"1375","M Mwamadi (MWI)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1376","SJ Myburgh (NL)","2017-2019","6","-","-","-","-","-","-","-","-","-","-","-"
"1377","Najeeb Tarakai (AFG)","2016-2019","10","-","-","-","-","-","-","-","-","-","-","-"
"1378","Najibullah Zadran (AFG)","2016-2021","37","-","-","-","-","-","-","-","-","-","-","-"
"1379","Naseem Khushi (OMAN)","2017-2020","13","-","-","-","-","-","-","-","-","-","-","-"
"1380","Nawazish Jezuli (Saudi)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1381","Nawroz Mangal (AFG)","2017-2017","2","-","-","-","-","-","-","-","-","-","-","-"
"1382","Najmul Hossain Shanto (BDESH)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1383","Nazwan Ismail (Mald)","2019-2020","4","-","-","-","-","-","-","-","-","-","-","-"
"1384","PM Nevill (AUS)","2016-2016","6","-","-","-","-","-","-","-","-","-","-","-"
"1385","OE Newey (GUE)","2019-2019","7","-","-","-","-","-","-","-","-","-","-","-"
"1386","HM Nicholls (NZ)","2016-2019","5","-","-","-","-","-","-","-","-","-","-","-"
"1387","TW Nightingale (GUE)","2020-2020","1","-","-","-","-","-","-","-","-","-","-","-"
"1388","G Nikitas ()","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1389","P Nissanka (SL)","2021-2021","3","-","-","-","-","-","-","-","-","-","-","-"
"1390","F Nkhoma (MWI)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1391","Noor Ali Zadran (AFG)","2016-2017","4","-","-","-","-","-","-","-","-","-","-","-"
"1392","Noor Momand (Belg)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1393","Nurul Hasan (BDESH)","2017-2017","3","-","-","-","-","-","-","-","-","-","-","-"
"1394","AA Obanda (KENYA)","2019-2019","6","-","-","-","-","-","-","-","-","-","-","-"
"1395","AA Onikoyi (NGA)","2019-2019","9","-","-","-","-","-","-","-","-","-","-","-"
"1396","CN Onwuzulike (NGA)","2019-2019","9","-","-","-","-","-","-","-","-","-","-","-"
"1397","A Otwani (UGA)","2019-2020","7","-","-","-","-","-","-","-","-","-","-","-"
"1398","Ovais Yousof (NGA)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1399","VS Padhaal (Fin)","2019-2019","5","-","-","-","-","-","-","-","-","-","-","-"
"1400","TD Paine (AUS/World)","2017-2017","7","-","-","-","-","-","-","-","-","-","-","-"
"1401","I Pandey (NEPAL)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1402","MK Pandey (INDIA)","2016-2020","37","-","-","-","-","-","-","-","-","-","-","-"
"1403","RR Pant (INDIA)","2017-2021","32","-","-","-","-","-","-","-","-","-","-","-"
"1404","AE Paraam (SGP)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1405","M Patel (PNM)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1406","M Patel (Chile)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1407","MD Patel (USA)","2019-2019","8","-","-","-","-","-","-","-","-","-","-","-"
"1408","RN Patel (KENYA)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1409","RK Paudel (NEPAL)","2019-2019","11","-","-","-","-","-","-","-","-","-","-","-"
"1410","AK Perera (SL)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1411","BBJL Perera (ITA)","2019-2019","8","-","-","-","-","-","-","-","-","-","-","-"
"1412","MDKJ Perera (SL)","2016-2020","25","-","-","-","-","-","-","-","-","-","-","-"
"1413","SL Perera (Ghana)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1414","T Phaswana (Botsw)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1415","JR Philippe (AUS)","2021-2021","5","-","-","-","-","-","-","-","-","-","-","-"
"1416","P Suanchuai (THAI)","2020-2020","4","-","-","-","-","-","-","-","-","-","-","-"
"1417","R Pillai (GER)","2019-2019","6","-","-","-","-","-","-","-","-","-","-","-"
"1418","N Pooran (WI)","2016-2021","27","-","-","-","-","-","-","-","-","-","-","-"
"1419","WTS Porterfield (IRE)","2016-2018","13","-","-","-","-","-","-","-","-","-","-","-"
"1420","VRCF Poubel ()","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1421","A Poulose (OMAN)","2017-2017","3","-","-","-","-","-","-","-","-","-","-","-"
"1422","SW Poynter (IRE)","2017-2019","15","-","-","-","-","-","-","-","-","-","-","-"
"1423","H Pragji (Botsw)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1424","SMA Priyanjan (SL)","2017-2017","3","-","-","-","-","-","-","-","-","-","-","-"
"1425","Qalandar Khan (QAT)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1426","S Qeshile (SA)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1427","AM Rahane (INDIA)","2016-2016","3","-","-","-","-","-","-","-","-","-","-","-"
"1428","Rahmanullah Gurbaz (AFG)","2019-2021","11","-","-","-","-","-","-","-","-","-","-","-"
"1429","Rahman Ademi (Serb)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1430","KL Rahul (INDIA)","2016-2021","49","-","-","-","-","-","-","-","-","-","-","-"
"1431","PBB Rajapaksa (SL)","2019-2020","7","-","-","-","-","-","-","-","-","-","-","-"
"1432","D Ramdin (WI)","2016-2019","18","-","-","-","-","-","-","-","-","-","-","-"
"1433","Rameez Shahzad (UAE)","2016-2019","22","-","-","-","-","-","-","-","-","-","-","-"
"1434","Aminuddin Ramly (MAL)","2019-2020","19","-","-","-","-","-","-","-","-","-","-","-"
"1435","DA Rankin (IRE)","2016-2016","1","-","-","-","-","-","-","-","-","-","-","-"
"1436","Ravinderpal Singh (CAN)","2019-2019","12","-","-","-","-","-","-","-","-","-","-","-"
"1437","AT Rayudu (INDIA)","2016-2016","3","-","-","-","-","-","-","-","-","-","-","-"
"1438","Razmal Shigiwal (Aut)","2019-2019","5","-","-","-","-","-","-","-","-","-","-","-"
"1439","Rehman Abdul (ITA)","2019-2019","7","-","-","-","-","-","-","-","-","-","-","-"
"1440","MJ Richardson (GER)","2019-2020","5","-","-","-","-","-","-","-","-","-","-","-"
"1441","CP Rizwan (UAE)","2019-2019","5","-","-","-","-","-","-","-","-","-","-","-"
"1442","Rizwan Cheema (CAN)","2019-2019","8","-","-","-","-","-","-","-","-","-","-","-"
"1443","Rizwan Mahmood (DEN)","2019-2019","5","-","-","-","-","-","-","-","-","-","-","-"
"1444","Robert Raina (THAI)","2020-2020","4","-","-","-","-","-","-","-","-","-","-","-"
"1445","L Ronchi (ICC/NZ)","2016-2018","8","-","-","-","-","-","-","-","-","-","-","-"
"1446","RR Rossouw (SA)","2016-2016","1","-","-","-","-","-","-","-","-","-","-","-"
"1447","JJ Roy (ENG)","2016-2021","33","-","-","-","-","-","-","-","-","-","-","-"
"1448","HD Rutherford (NZ)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1449","Sabbir Rahman (BDESH)","2016-2019","21","-","-","-","-","-","-","-","-","-","-","-"
"1450","VM Sachdev (PNM)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1451","AK Sah (NEPAL)","2018-2018","1","-","-","-","-","-","-","-","-","-","-","-"
"1452","Sahibzada Farhan (PAK)","2018-2018","3","-","-","-","-","-","-","-","-","-","-","-"
"1453","Sajid Cheema (Saudi)","2019-2020","7","-","-","-","-","-","-","-","-","-","-","-"
"1454","J Salazar (Peru)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1455","S Samarawickrama (SL)","2017-2019","7","-","-","-","-","-","-","-","-","-","-","-"
"1456","BA Sambo (Moz)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1457","SV Samson (INDIA)","2020-2020","6","-","-","-","-","-","-","-","-","-","-","-"
"1458","R Sandaruwan (KUW)","2019-2020","15","-","-","-","-","-","-","-","-","-","-","-"
"1459","Sarfaraz Ahmed (PAK)","2016-2020","41","-","-","-","-","-","-","-","-","-","-","-"
"1460","A Sarma (GER)","2019-2020","4","-","-","-","-","-","-","-","-","-","-","-"
"1461","BV Save (MAL)","2020-2020","2","-","-","-","-","-","-","-","-","-","-","-"
"1462","JOP Scamans (Fin)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1463","TL Seifert (NZ)","2018-2021","35","-","-","-","-","-","-","-","-","-","-","-"
"1464","Shafiqullah (AFG)","2016-2019","18","-","-","-","-","-","-","-","-","-","-","-"
"1465","Shafiq Sharif (MAL)","2019-2019","10","-","-","-","-","-","-","-","-","-","-","-"
"1466","Shafraz Jaleel (Mald)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1467","Shahbaz Badar (BHR)","2019-2020","5","-","-","-","-","-","-","-","-","-","-","-"
"1468","Shaheryar Butt (Belg)","2019-2020","7","-","-","-","-","-","-","-","-","-","-","-"
"1469","Shahid Wasif (HKG)","2016-2020","18","-","-","-","-","-","-","-","-","-","-","-"
"1470","Shaiman Anwar (UAE)","2016-2019","14","-","-","-","-","-","-","-","-","-","-","-"
"1471","Shamsudheen Purat (Saudi)","2019-2020","6","-","-","-","-","-","-","-","-","-","-","-"
"1472","A Sharafu (UAE)","2020-2020","5","-","-","-","-","-","-","-","-","-","-","-"
"1473","Sharjeel Khan (PAK)","2016-2016","7","-","-","-","-","-","-","-","-","-","-","-"
"1474","RG Sharma (INDIA)","2016-2021","54","-","-","-","-","-","-","-","-","-","-","-"
"1475","D Sheeli (KUW)","2019-2020","5","-","-","-","-","-","-","-","-","-","-","-"
"1476","Sherul Mehta (Belg)","2020-2020","1","-","-","-","-","-","-","-","-","-","-","-"
"1477","V Sibanda (ZIM)","2016-2016","1","-","-","-","-","-","-","-","-","-","-","-"
"1478","Simandeep Singh (HKG)","2019-2019","7","-","-","-","-","-","-","-","-","-","-","-"
"1479","LMP Simmons (WI)","2016-2021","23","-","-","-","-","-","-","-","-","-","-","-"
"1480","Simranjit Singh (ITA)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1481","S Singh (PORT)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1482","JR Singleton ()","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1483","RM Siri (Arg)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1484","S Smith (BMUDA)","2019-2019","5","-","-","-","-","-","-","-","-","-","-","-"
"1485","SPD Smith (AUS)","2016-2020","19","-","-","-","-","-","-","-","-","-","-","-"
"1486","S Sohal (USA)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1487","M Sohel Patel (PNM)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1488","ES Soto (CRC)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1489","L Sreekumar (UAE)","2017-2017","1","-","-","-","-","-","-","-","-","-","-","-"
"1490","H Srinivasan (GER)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1491","AJ Staal (NL)","2019-2019","9","-","-","-","-","-","-","-","-","-","-","-"
"1492","SSM Stanislaus (MLT)","2020-2020","3","-","-","-","-","-","-","-","-","-","-","-"
"1493","BS Stephenson (Blz)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1494","MWR Stokes (GUE)","2019-2019","9","-","-","-","-","-","-","-","-","-","-","-"
"1495","F Stoman (PORT)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1496","GM Strydom (Caym)","2019-2019","6","-","-","-","-","-","-","-","-","-","-","-"
"1497","Sultan Ahmed (OMAN)","2017-2017","4","-","-","-","-","-","-","-","-","-","-","-"
"1498","Sumair Khan (MLT)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1499","Suraj Kumar (OMAN)","2019-2020","16","-","-","-","-","-","-","-","-","-","-","-"
"1500","K Suttisan (THAI)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1501","P Syafiq Ali (MAL)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1502","Talha Khan (GER)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1503","Tamim Iqbal (BDESH/ICC/World)","2016-2020","28","-","-","-","-","-","-","-","-","-","-","-"
"1504","R Tari (VAN)","2019-2019","14","-","-","-","-","-","-","-","-","-","-","-"
"1505","BRM Taylor (ZIM)","2018-2020","17","-","-","-","-","-","-","-","-","-","-","-"
"1506","LRPL Taylor (NZ)","2016-2020","33","-","-","-","-","-","-","-","-","-","-","-"
"1507","HT Tector (IRE)","2019-2020","20","-","-","-","-","-","-","-","-","-","-","-"
"1508","VE Tembo (Moz)","2019-2019","6","-","-","-","-","-","-","-","-","-","-","-"
"1509","SP Terry (IRE)","2016-2016","1","-","-","-","-","-","-","-","-","-","-","-"
"1510","H Thaker (CAN)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1511","WU Tharanga (SL)","2017-2018","16","-","-","-","-","-","-","-","-","-","-","-"
"1512","HDRL Thirimanne (SL)","2016-2016","3","-","-","-","-","-","-","-","-","-","-","-"
"1513","RA Thomas (CAN)","2019-2019","8","-","-","-","-","-","-","-","-","-","-","-"
"1514","GJ Thompson (IRE)","2016-2019","10","-","-","-","-","-","-","-","-","-","-","-"
"1515","C Tommy (VAN)","2019-2019","12","-","-","-","-","-","-","-","-","-","-","-"
"1516","OFJ Tonuu (Samoa)","2019-2019","4","-","-","-","-","-","-","-","-","-","-","-"
"1517","A Tripathi (Mex)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1518","LJ Tucker (IRE)","2016-2020","17","-","-","-","-","-","-","-","-","-","-","-"
"1519","ML Udawatte (SL)","2017-2017","3","-","-","-","-","-","-","-","-","-","-","-"
"1520","T Ulutuna (TKY)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1521","J Umanath (Mex)","2019-2019","7","-","-","-","-","-","-","-","-","-","-","-"
"1522","Umar Akmal (PAK)","2016-2019","8","-","-","-","-","-","-","-","-","-","-","-"
"1523","Umar Amin (PAK)","2017-2018","4","-","-","-","-","-","-","-","-","-","-","-"
"1524","TP Ura (PNG)","2017-2019","20","-","-","-","-","-","-","-","-","-","-","-"
"1525","Usman Ghani (AFG)","2016-2021","13","-","-","-","-","-","-","-","-","-","-","-"
"1526","Usman Patel (KUW)","2020-2020","5","-","-","-","-","-","-","-","-","-","-","-"
"1527","Usman Waheed (KUW)","2019-2019","6","-","-","-","-","-","-","-","-","-","-","-"
"1528","PJ van Biljon (SA)","2020-2021","7","-","-","-","-","-","-","-","-","-","-","-"
"1529","HE van der Dussen (SA)","2018-2020","18","-","-","-","-","-","-","-","-","-","-","-"
"1530","S Varathappan (KUW)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1531","JNT Vare (PNG)","2017-2017","3","-","-","-","-","-","-","-","-","-","-","-"
"1532","G Venkateswaran (LUX)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1533","Vikramjit Singh (NL)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1534","JM Vince (ENG)","2016-2019","9","-","-","-","-","-","-","-","-","-","-","-"
"1535","Vinod Kumar (ESP)","2019-2020","4","-","-","-","-","-","-","-","-","-","-","-"
"1536","J Vira (VAN)","2019-2019","14","-","-","-","-","-","-","-","-","-","-","-"
"1537","TP Visee (NL)","2017-2019","25","-","-","-","-","-","-","-","-","-","-","-"
"1538","Vishal Ahir (PNM)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1539","R Vishwanath (LUX)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1540","MS Wade (AUS)","2016-2021","13","-","-","-","-","-","-","-","-","-","-","-"
"1541","Wahidullah Usmani (Belg)","2020-2020","4","-","-","-","-","-","-","-","-","-","-","-"
"1542","K Waiswa (UGA)","2020-2020","3","-","-","-","-","-","-","-","-","-","-","-"
"1543","CD Wallace (SCOT)","2017-2019","11","-","-","-","-","-","-","-","-","-","-","-"
"1544","CAK Walton (WI)","2016-2018","17","-","-","-","-","-","-","-","-","-","-","-"
"1545","T Wangchuk jnr (BHU)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1546","Waqas Khan (HKG)","2017-2020","11","-","-","-","-","-","-","-","-","-","-","-"
"1547","DA Warner (AUS)","2016-2020","24","-","-","-","-","-","-","-","-","-","-","-"
"1548","OJ Webster (IOM)","2020-2020","1","-","-","-","-","-","-","-","-","-","-","-"
"1549","D Weston (GER)","2019-2019","6","-","-","-","-","-","-","-","-","-","-","-"
"1550","SA Wijeyeratne (CAN)","2019-2019","2","-","-","-","-","-","-","-","-","-","-","-"
"1551","OR Willis (Caym)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1552","GC Wilson (IRE)","2017-2020","35","-","-","-","-","-","-","-","-","-","-","-"
"1553","AS Wright (GUE)","2019-2019","8","-","-","-","-","-","-","-","-","-","-","-"
"1554","SA Yadav (INDIA)","2021-2021","2","-","-","-","-","-","-","-","-","-","-","-"
"1555","Yasar Idrees (KUW)","2019-2019","1","-","-","-","-","-","-","-","-","-","-","-"
"1556","KJ Young (Blz)","2019-2019","3","-","-","-","-","-","-","-","-","-","-","-"
"1557","Yousef Shadzehisarjou (Iran)","2020-2020","3","-","-","-","-","-","-","-","-","-","-","-"
