,Player,Span,Mat,Runs,HS,Bat_Av,hundred,Wkts,BBI,Bowl_Av,five,Ct,St,Ave_Diff
1,RG Sharma (INDIA),2016-2021,54,1591,118,32.46,3,-,-,-,-,20,0,-
2,V Kohli (INDIA),2016-2021,50,1688,94*,51.15,0,1,Jan-15,15,0,25,0,36.15
3,KL Rahul (INDIA),2016-2021,49,1557,110*,39.92,2,-,-,-,-,17,1,-
4,IS Sodhi (NZ),2016-2021,49,76,16*,12.66,0,60,Apr-28,23,0,11,0,-10.33
5,YS Chahal (INDIA),2016-2021,48,5,3*,2.5,0,62,Jun-25,25.4,1,9,0,-22.9
6,Babar Azam (PAK),2016-2021,47,1730,97*,48.05,0,-,-,-,-,19,0,-
7,CJ Jordan (ENG),2016-2021,47,151,36,13.72,0,58,04-Jun,24.72,0,25,0,-10.99
8,S Dhawan (INDIA),2016-2021,46,1299,92,30.2,0,-,-,-,-,16,0,-
9,MJ Santner (NZ),2016-2021,46,306,37,16.1,0,49,Apr-31,23.95,0,21,0,-7.85
10,Shadab Khan (PAK),2017-2020,46,183,42,14.07,0,53,Apr-14,22.62,0,15,0,-8.54
11,AJ Finch (AUS),2016-2021,45,1430,172,37.63,1,-,-,-,-,25,0,-
12,KJ O'Brien (IRE),2016-2020,45,1108,124,25.18,1,13,Apr-45,29.53,0,19,0,-4.35
13,EJG Morgan (ENG),2016-2021,44,946,91,29.56,0,-,-,-,-,18,0,-
14,AU Rashid (ENG),2016-2021,43,32,8*,6.4,0,44,03-Nov,25.61,0,8,0,-19.21
15,GJ Maxwell (AUS),2016-2021,42,1278,145*,38.72,3,16,03-Oct,20.87,0,21,0,17.85
16,TG Southee (NZ),2017-2021,42,174,39,14.5,0,47,Apr-21,26.38,0,25,0,-11.88
17,MJ Guptill (NZ),2016-2021,41,1167,105,29.92,1,-,-,-,-,26,0,-
18,C Munro (NZ),2016-2020,41,1335,109*,34.23,3,4,01-Dec,39,0,12,0,-4.76
19,Sarfaraz Ahmed (PAK),2016-2020,41,542,89*,27.1,0,-,-,-,-,26,8,-
20,Shoaib Malik (ICC/PAK),2016-2020,41,948,58*,45.14,0,3,Feb-13,45,0,22,0,0.14
21,PR Stirling (IRE),2017-2020,41,1373,95,35.2,0,4,01-Oct,55,0,11,0,-19.79
22,Fakhar Zaman (PAK),2017-2020,40,838,91,22.05,0,0,-,-,0,19,0,-
23,Imad Wasim (PAK),2016-2020,40,216,47,12,0,39,May-14,23,1,16,0,-10.99
24,DA Miller (SA/World),2016-2021,39,784,101*,31.36,1,-,-,-,-,36,1,-
25,A Zampa (AUS),2016-2021,39,31,13*,15.5,0,43,Mar-14,21.53,0,7,0,-6.03
26,CR Brathwaite (WI),2016-2019,38,308,37*,16.21,0,30,Mar-20,31,0,18,0,-14.78
27,JJ Bumrah (INDIA),2016-2020,38,8,7,8,0,43,03-Nov,21.79,0,6,0,-13.79
28,GH Dockrell (IRE),2017-2020,38,228,34*,17.53,0,28,Mar-23,31.92,0,26,0,-14.39
29,Rashid Khan (AFG/ICC),2016-2021,38,153,33,12.75,0,77,05-Mar,11.29,2,17,0,1.45
30,Asghar Afghan (AFG),2016-2021,37,634,55,19.21,0,-,-,-,-,8,0,-
31,Mahmudullah (BDESH),2016-2020,37,861,62,31.88,0,11,Mar-18,26.72,0,12,0,5.16
32,Mohammad Nabi (AFG),2016-2021,37,765,89,28.33,0,27,04-Oct,31.37,0,23,0,-3.03
33,Najibullah Zadran (AFG),2016-2021,37,566,69*,33.29,0,-,-,-,-,19,0,-
34,MK Pandey (INDIA),2016-2020,37,690,79*,49.28,0,-,-,-,-,8,0,-
35,KS Williamson (NZ),2016-2021,36,953,95,28.87,0,3,Feb-16,14.66,0,15,0,14.21
36,JC Buttler (ENG),2016-2021,35,984,83*,37.84,0,-,-,-,-,22,3,-
37,Faheem Ashraf (PAK),2017-2021,35,214,31,12.58,0,30,03-May,25.36,0,9,0,-12.77
38,E Lewis (WI),2016-2021,35,989,125*,30.9,2,-,-,-,-,11,0,-
39,HH Pandya (INDIA),2016-2021,35,361,42*,21.23,0,28,Apr-38,29.17,0,20,0,-7.94
40,NLTC Perera (ICC/SL/World),2016-2021,35,656,61,22.62,0,17,Mar-24,49.64,0,15,0,-27.02
41,TL Seifert (NZ),2018-2021,35,695,84*,24.82,0,-,-,-,-,20,6,-
42,GC Wilson (IRE),2017-2020,35,595,65*,23.8,0,-,-,-,-,15,3,-
43,MS Dhoni (INDIA),2016-2019,34,635,56,45.35,0,-,-,-,-,21,16,-
44,KA Pollard (WI),2016-2021,34,613,75*,27.86,0,15,Apr-25,25.4,0,16,0,2.46
45,Soumya Sarkar (BDESH),2016-2020,34,614,62*,19.8,0,6,Feb-29,43.33,0,17,0,-23.52
46,A Balbirnie (IRE),2018-2020,33,861,83,28.7,0,-,-,-,-,13,0,-
47,B Kumar (INDIA),2016-2021,33,8,3*,4,0,27,May-24,31.7,1,4,0,-27.7
48,JJ Roy (ENG),2016-2021,33,875,78,27.34,0,-,-,-,-,4,0,-
49,PM Seelaar (NL),2017-2019,33,403,96*,22.38,0,27,Mar-17,24.11,0,12,0,-1.72
50,LRPL Taylor (NZ),2016-2020,33,734,54*,30.58,0,-,-,-,-,5,0,-
51,C de Grandhomme (NZ),2017-2020,32,474,59,18.96,0,11,Feb-22,40.45,0,17,0,-21.49
52,Mushfiqur Rahim (BDESH),2016-2020,32,605,72*,23.26,0,-,-,-,-,10,7,-
53,RR Pant (INDIA),2017-2021,32,500,65*,21.73,0,-,-,-,-,8,5,-
54,MD Shanaka (SL),2016-2020,32,407,54,17.69,0,7,Feb-27,25.28,0,8,0,-7.59
55,AC Agar (AUS),2016-2021,31,176,29,13.53,0,37,Jun-30,19.4,2,19,0,-5.86
56,JM Bairstow (ENG),2016-2021,31,823,86*,35.78,0,-,-,-,-,12,0,-
57,Hasan Ali (PAK),2016-2021,31,81,23,16.2,0,37,Mar-23,24.48,0,7,0,-8.28
58,Mustafizur Rahman (BDESH),2016-2020,31,41,15,5.12,0,45,May-22,21.55,1,8,0,-16.43
59,MP O'Dowd (NL),2017-2019,31,831,69,27.7,0,2,01-Oct,52.5,0,11,0,-24.79
60,AT Carey (AUS),2018-2020,30,176,37*,12.57,0,-,-,-,-,14,9,-
61,AL Phehlukwayo (SA),2017-2021,30,106,27*,8.83,0,38,Apr-24,21.02,0,7,0,-12.19
62,R Powell (WI),2017-2021,30,344,54,18.1,0,4,Feb-31,28.5,0,12,0,-10.39
63,Washington Sundar (INDIA),2017-2021,30,43,14*,7.16,0,25,Mar-22,27.4,0,8,0,-20.23
64,S Badree (WI/World),2016-2018,29,19,7,4.75,0,25,03-Dec,27.28,0,2,0,-22.52
65,SA Edwards (NL),2018-2019,29,334,42*,23.85,0,-,-,-,-,24,4,-
66,Ahmed Raza (UAE),2016-2020,28,77,22,12.83,0,22,02-Aug,27.68,0,9,0,-14.84
67,BN Cooper (NL),2017-2019,28,729,91*,30.37,0,-,-,-,-,18,0,-
68,TK Curran (ENG),2017-2021,28,54,14*,13.5,0,26,Apr-36,32.23,0,8,0,-18.73
69,SS Iyer (INDIA),2017-2021,28,513,67,28.5,0,-,-,-,-,8,0,-
70,Muhammad Usman (UAE),2016-2020,28,517,89*,23.5,0,-,-,-,-,8,0,-
71,WB Rankin (IRE),2017-2020,28,35,10,5.83,0,31,Mar-16,24.35,0,8,0,-18.52
72,T Shamsi (SA),2017-2021,28,4,2*,4,0,27,Apr-25,28.18,0,8,0,-24.18
73,Tamim Iqbal (BDESH/ICC/World),2016-2020,28,642,74,22.92,0,-,-,-,-,6,0,-
74,SO Hetmyer (WI),2018-2020,27,379,56,18.95,0,-,-,-,-,10,0,-
75,N Pooran (WI),2016-2021,27,392,58,19.6,0,-,-,-,-,16,1,-
76,Rohan Mustafa (UAE),2016-2020,27,526,58,20.23,0,32,Apr-18,18.12,0,10,0,2.1
77,MP Stoinis (AUS),2017-2021,27,366,78,24.4,0,10,Feb-27,34.6,0,13,0,-10.19
78,Asif Ali (PAK),2018-2021,26,338,41*,17.78,0,-,-,-,-,10,0,-
79,Liton Das (BDESH),2017-2020,26,587,61,23.48,0,-,-,-,-,15,0,-
80,BKG Mendis (SL),2016-2020,26,484,79,18.61,0,-,-,-,-,6,0,-
81,MN Samuels (WI),2016-2018,26,622,89*,29.61,0,3,01-Nov,20.33,0,4,0,9.28
82,PA van Meekeren (NL),2017-2019,26,36,18,6,0,33,Apr-38,21.36,0,7,0,-15.36
83,KOK Williams (WI),2016-2020,26,19,13*,6.33,0,41,Apr-28,19.63,0,8,0,-13.3
84,RD Berrington (SCOT),2017-2019,25,657,76,38.64,0,13,Mar-17,23.38,0,4,0,15.26
85,Karim Janat (AFG),2016-2021,25,194,26,13.85,0,26,05-Nov,27.11,1,6,0,-13.25
86,CS MacLeod (SCOT),2017-2019,25,670,74,35.26,0,2,Jan-17,38,0,18,0,-2.73
87,HG Munsey (SCOT),2017-2019,25,797,127*,33.2,1,-,-,-,-,8,0,-
88,MDKJ Perera (SL),2016-2020,25,697,77,29.04,0,-,-,-,-,6,4,-
89,Shakib Al Hasan (BDESH),2016-2019,25,521,70*,22.65,0,31,May-20,21.12,1,5,0,1.52
90,AJ Tye (AUS),2017-2020,25,57,20,11.4,0,37,Apr-23,20.91,0,9,0,-9.51
91,TP Visee (NL),2017-2019,25,469,78,18.76,0,-,-,-,-,3,0,-
92,SW Billings (ENG/ICC),2016-2020,24,292,87,17.17,0,-,-,-,-,11,0,-
93,SS Cottrell (WI),2018-2020,24,17,4*,5.66,0,29,Apr-28,21.51,0,12,0,-15.85
94,MH Cross (SCOT),2017-2019,24,449,66*,29.93,0,-,-,-,-,12,6,-
95,Mohammad Amir (PAK),2016-2020,24,18,9*,6,0,26,Apr-13,23,0,0,0,-16.99
96,S Muniandy (MAL),2019-2020,24,214,27,17.83,0,19,Apr-13,27.78,0,8,0,-9.95
97,Nizakat Khan (HKG),2016-2020,24,496,62,20.66,0,0,-,-,0,15,0,-
98,Samiullah Shinwari (AFG),2016-2020,24,418,56,22,0,2,01-Jul,56,0,9,0,-33.99
99,Simi Singh (IRE),2018-2020,24,207,57*,10.89,0,21,Mar-15,23.61,0,7,0,-12.72
100,SR Thompson (IRE),2017-2019,24,259,56,18.5,0,14,Apr-18,38.64,0,15,0,-20.14
101,DA Warner (AUS),2016-2020,24,670,100*,37.22,1,-,-,-,-,14,0,-
102,Bilal Khan (OMAN),2017-2020,23,18,6*,9,0,37,Apr-19,14.75,0,3,0,-5.75
103,TA Boult (NZ),2017-2021,23,16,8,16,0,31,Apr-34,24.12,0,7,0,-8.12
104,KJ Coetzer (SCOT),2017-2019,23,636,89,27.65,0,-,-,-,-,6,0,-
105,GJ Delany (IRE),2019-2020,23,436,89*,24.22,0,19,Feb-21,24.57,0,8,0,-0.35
106,N Dickwella (SL),2017-2021,23,461,68,20.95,0,-,-,-,-,11,1,-
107,Ehsan Khan (HKG),2016-2020,23,187,42*,26.71,0,21,Mar-32,23.8,0,6,0,2.9
108,MD Gunathilaka (SL),2016-2021,23,477,57,21.68,0,6,02-Mar,24.5,0,9,0,-2.81
109,RR Hendricks (SA),2017-2021,23,613,74,26.65,0,-,-,-,-,8,0,-
110,Karan KC (NEPAL),2018-2020,23,177,40*,16.09,0,33,Apr-17,17.18,0,8,0,-1.09
111,KD Karthik (ICC/INDIA),2017-2019,23,299,48,49.83,0,-,-,-,-,9,3,-
112,DJ Malan (ENG),2017-2021,23,921,103*,51.16,1,1,Jan-27,27,0,7,0,24.16
113,Mohammad Hafeez (PAK),2016-2020,23,714,99*,59.5,0,8,02-Mar,14.12,0,5,0,45.37
114,Mohammad Nadeem (OMAN),2017-2020,23,84,29,9.33,0,23,Apr-23,20.3,0,7,0,-10.97
115,KW Richardson (AUS),2018-2021,23,7,5,3.5,0,28,Mar-18,22.25,0,10,0,-18.74
116,DJM Short (AUS),2018-2020,23,642,76,30.57,0,3,Jan-13,50.33,0,8,0,-19.76
117,LMP Simmons (WI),2016-2021,23,501,91*,29.47,0,-,-,-,-,10,0,-
118,Syed Aziz (MAL),2019-2020,23,637,87,35.38,0,4,Feb-33,46.75,0,6,0,-11.36
119,I Udana (SL),2017-2020,23,228,84*,22.8,0,19,03-Nov,28.94,0,3,0,-6.14
120,Q de Kock (SA),2016-2020,22,714,79*,34,0,-,-,-,-,19,4,-
121,Fitri Sham (MAL),2019-2020,22,52,15*,6.5,0,21,Mar-22,23.57,0,5,0,-17.07
122,Gulbadin Naib (AFG),2016-2020,22,132,26,11,0,11,Feb-24,27.54,0,6,0,-16.54
123,Iqbal Hussain (QAT),2019-2020,22,28,19,5.6,0,38,Apr-16,15.89,0,11,0,-10.29
124,P Khadka (NEPAL),2018-2020,22,563,106*,29.63,1,6,02-Nov,31.66,0,12,0,-2.03
125,Khawar Ali (OMAN),2017-2020,22,435,72*,21.75,0,31,Apr-16,13.9,0,11,0,7.84
126,SL Malinga (SL),2017-2020,22,65,13*,6.5,0,29,05-Jun,22.17,1,5,0,-15.67
127,Mohammed Rizlan (QAT),2019-2020,22,276,38*,25.09,0,-,-,-,-,13,7,-
128,Mohammed Nadeem (QAT),2019-2020,22,5,3,5,0,23,Mar-23,23.78,0,5,0,-18.78
129,Muhammad Tanveer (QAT),2019-2020,22,600,64,37.5,0,2,01-Dec,43,0,6,0,-5.49
130,GD Phillips (NZ),2017-2021,22,410,108,24.11,1,0,-,-,0,15,2,-
131,Rameez Shahzad (UAE),2016-2019,22,449,54,24.94,0,-,-,-,-,8,0,-
132,SM Sharif (SCOT),2017-2019,22,80,20*,20,0,27,Mar-21,25.92,0,9,0,-5.92
133,Sultan Ahmed (UAE),2017-2020,22,63,18,7.87,0,21,04-Sep,20.28,0,14,0,-12.41
134,RE van der Merwe (NL),2017-2019,22,329,75*,32.9,0,28,Apr-35,16.85,0,8,0,16.04
135,DJ Willey (ENG),2016-2019,22,146,29*,14.6,0,25,04-Jul,23.12,0,8,0,-8.51
136,CA Young (IRE),2016-2020,22,21,8,7,0,20,Apr-13,28.3,0,6,0,-21.29
137,Zahoor Khan (UAE),2017-2020,22,10,6,2.5,0,27,Mar-17,18.62,0,4,0,-16.12
138,DS Airee (NEPAL),2018-2020,21,330,47*,20.62,0,0,-,-,0,8,0,-
139,MM Ali (ENG),2016-2020,21,255,61,23.18,0,10,Feb-21,41.8,0,5,0,-18.61
140,ADS Fletcher (WI),2016-2020,21,396,84*,24.75,0,-,-,-,-,6,0,-
141,Kamran Khan (QAT),2019-2020,21,630,88,31.5,0,0,-,-,0,6,0,-
142,FJ Klaassen (NL),2018-2019,21,33,13,5.5,0,20,Mar-31,29.05,0,10,0,-23.54
143,Kuldeep Yadav (INDIA),2017-2020,21,20,16,20,0,39,May-24,13.76,1,8,0,6.23
144,S Lamichhane (ICC/NEPAL),2018-2020,21,24,9,4,0,34,Apr-20,14.55,0,3,0,-10.55
145,Sabbir Rahman (BDESH),2016-2019,21,392,77,18.66,0,-,-,-,-,11,0,-
146,Shaheen Shah Afridi (PAK),2018-2021,21,10,10*,-,0,24,Mar-20,25.25,0,1,0,-
147,BA Stokes (ENG),2016-2021,21,281,47*,21.61,0,14,Mar-26,32.35,0,12,0,-10.74
148,SN Thakur (INDIA),2018-2021,21,59,22*,29.5,0,25,Apr-27,24.16,0,4,0,5.34
149,Virandeep Singh (MAL),2019-2020,21,564,57,28.2,0,3,Feb-15,45,0,10,4,-16.79
150,MRJ Watt (SCOT),2017-2019,21,28,14*,9.33,0,30,Mar-18,19.06,0,5,0,-9.73
151,Aizaz Khan (HKG),2016-2020,20,216,44,12.7,0,23,03-Oct,20.56,0,4,0,-7.85
152,S Bau (PNG),2017-2019,20,309,40*,28.09,0,4,02-Apr,17,0,6,0,11.09
153,B Bhandari (NEPAL),2019-2020,20,273,58*,24.81,0,-,-,-,-,5,4,-
154,A Bohara (NEPAL),2019-2020,20,17,12,4.25,0,20,Apr-35,21.8,0,5,0,-17.54
155,RP Burl (ZIM),2018-2021,20,297,57*,22.84,0,12,Mar-24,27.5,0,10,0,-4.65
156,A Dananjaya (SL),2017-2021,20,58,11*,7.25,0,19,Mar-36,34.36,0,6,0,-27.11
157,AD Hales (ENG),2016-2019,20,462,58*,25.66,0,-,-,-,-,11,0,-
158,Mohammad Rizwan (PAK),2016-2021,20,404,104*,40.4,1,-,-,-,-,8,4,-
159,Mohammad Shahzad (AFG),2016-2018,20,641,80,33.73,0,-,-,-,-,6,9,-
160,KMA Paul (WI),2018-2020,20,168,29,21,0,24,May-15,26.79,1,2,0,-5.79
161,SK Raina (INDIA),2016-2018,20,442,69,26,0,3,01-Apr,43,0,15,0,-16.99
162,KD Shah (HKG),2019-2020,20,425,79,25,0,9,02-Sep,42.88,0,8,0,-17.88
163,L Siaka (PNG),2017-2019,20,274,39,19.57,0,9,Mar-16,6.22,0,14,0,13.34
164,HT Tector (IRE),2019-2020,20,364,60,26,0,-,-,-,-,13,0,-
165,TP Ura (PNG),2017-2019,20,628,107*,41.86,1,-,-,-,-,7,0,-
166,A Vala (PNG),2017-2019,20,344,68,22.93,0,14,03-Jul,14,0,8,0,8.93
167,Waqas Barkat (HKG),2017-2020,20,227,37,15.13,0,6,Feb-13,43.33,0,3,0,-28.19
168,Zaheer Ibrahim (QAT),2019-2020,20,251,50,16.73,0,-,-,-,-,10,0,-
169,FA Allen (WI),2018-2021,19,145,30,13.18,0,14,Feb-19,23.78,0,6,0,-10.6
170,F du Plessis (SA/World),2016-2020,19,533,78,29.61,0,-,-,-,-,8,0,-
171,BD Glover (NL),2019-2019,19,2,1*,2,0,28,04-Dec,16,0,3,0,-13.99
172,Khurram Nawaz (OMAN),2017-2020,19,216,58,19.63,0,-,-,-,-,3,0,-
173,H Masakadza (ZIM),2016-2019,19,299,71,15.73,0,-,-,-,-,9,0,-
174,SS McKechnie (HKG),2019-2020,19,215,44,21.5,0,-,-,-,-,7,5,-
175,Mujeeb Ur Rahman (AFG),2018-2020,19,8,8*,-,0,25,Apr-15,17.72,0,4,0,-
176,Pavandeep Singh (MAL),2019-2020,19,5,2*,5,0,25,03-Dec,18.2,0,5,0,-13.19
177,LE Plunkett (ENG),2016-2019,19,41,18,6.83,0,18,Mar-27,29.77,0,5,0,-22.94
178,Aminuddin Ramly (MAL),2019-2020,19,199,33,15.3,0,-,-,-,-,6,0,-
179,PADLR Sandakan (SL),2017-2021,19,20,10,6.66,0,23,Apr-23,23,0,6,0,-16.33
180,SPD Smith (AUS),2016-2020,19,446,80*,37.16,0,-,-,-,-,11,0,-
181,B Stanlake (AUS),2017-2019,19,9,7,9,0,27,04-Aug,20.14,0,0,0,-11.14
182,N Vanua (PNG),2017-2019,19,238,54,19.83,0,27,May-17,14.11,1,5,0,5.72
183,SC Williams (ZIM),2018-2021,19,403,66,25.18,0,15,Mar-21,29.4,0,7,0,-4.21
184,Zeeshan Maqsood (OMAN),2017-2020,19,278,56,25.27,0,10,04-Jul,24.8,0,7,0,0.47
185,MR Adair (IRE),2019-2020,18,158,38,14.36,0,27,Apr-40,16.11,0,3,0,-1.74
186,Ahmed Faiz (MAL),2019-2020,18,436,58,27.25,0,-,-,-,-,4,0,-
187,Ahmed Shehzad (PAK),2016-2019,18,478,89,26.55,0,-,-,-,-,2,0,-
188,Awais Malik (QAT),2019-2020,18,17,9,2.42,0,22,Mar-19,20.27,0,4,0,-17.84
189,DJ Bravo (WI),2016-2021,18,164,55,16.4,0,20,Mar-19,24.15,0,7,0,-7.74
190,LD Chandimal (SL),2016-2021,18,304,58,23.38,0,-,-,-,-,9,5,-
191,Hussain Talat (PAK),2018-2021,18,394,63,24.62,0,4,02-Dec,13.5,0,5,0,11.12
192,MA Leask (SCOT),2017-2019,18,138,38*,12.54,0,7,Mar-31,43.28,0,12,0,-30.74
193,KH Pandya (INDIA),2018-2019,18,121,26*,24.2,0,14,Apr-36,38.42,0,7,0,-14.22
194,D Ramdin (WI),2016-2019,18,239,44*,23.9,0,-,-,-,-,13,2,-
195,Shafiqullah (AFG),2016-2019,18,173,35*,14.41,0,-,-,-,-,3,2,-
196,Shahid Wasif (HKG),2016-2020,18,261,50,20.07,0,-,-,-,-,6,0,-
197,HE van der Dussen (SA),2018-2020,18,542,74*,38.71,0,-,-,-,-,4,0,-
198,Wahab Riaz (PAK),2016-2020,18,53,24,10.6,0,17,Mar-18,28.64,0,2,0,-18.04
199,Aamir Kaleem (OMAN),2019-2020,17,196,46,17.81,0,20,May-15,15.25,1,7,0,2.56
200,CJA Amini (PNG),2019-2019,17,287,60,28.7,0,14,Feb-24,21.71,0,3,0,6.98
201,Anwar Arudin (MAL),2019-2020,17,168,32,9.88,0,-,-,-,-,2,0,-
202,Aqib Ilyas (OMAN),2017-2019,17,373,60,26.64,0,2,01-Sep,29.5,0,7,0,-2.85
203,DG Blampied (JER),2019-2019,17,221,43*,24.55,0,24,Apr-20,16.45,0,8,0,8.09
204,TC Bruce (NZ),2017-2020,17,279,59*,18.6,0,-,-,-,-,15,0,-
205,K Doriga (PNG),2019-2019,17,106,43*,10.6,0,-,-,-,-,15,1,-
206,JSE Dunford (JER),2019-2019,17,54,29,9,0,-,-,-,-,6,5,-
207,Ghulam Shabber (UAE),2016-2019,17,208,58*,18.9,0,-,-,-,-,14,1,-
208,Haroon Arshad (HKG),2019-2020,17,289,68,26.27,0,12,May-16,18.58,1,0,0,7.68
209,RA Jadeja (INDIA),2016-2020,17,126,44*,42,0,13,Feb-18,28.46,0,5,0,13.53
210,Jatinder Singh (OMAN),2019-2020,17,497,68*,35.5,0,-,-,-,-,6,0,-
211,JW Jenner (JER),2019-2019,17,365,71,24.33,0,-,-,-,-,16,0,-
212,JB Little (IRE),2016-2020,17,23,7,4.6,0,11,Mar-29,46.45,0,2,0,-41.85
213,Mohammad Naveed (UAE),2016-2019,17,84,27*,12,0,18,Mar-18,23.61,0,3,0,-11.61
214,Mohammad Nawaz (3) (PAK),2016-2021,17,34,18*,11.33,0,15,02-Nov,22.46,0,6,0,-11.13
215,SP Narine (WI),2016-2019,17,69,30,7.66,0,12,03-Nov,32.91,0,4,0,-25.24
216,D Ravu (PNG),2019-2019,17,10,6,3.33,0,24,May-15,9.2,1,5,0,-5.87
217,JE Root (ENG),2016-2019,17,500,83,35.71,0,2,02-Sep,21.5,0,10,0,14.21
218,Sompal Kami (NEPAL),2018-2019,17,113,27,14.12,0,14,Mar-23,26.85,0,7,0,-12.73
219,BDH Stevens (JER),2019-2019,17,316,44,19.75,0,12,Mar-17,20.75,0,17,0,-0.99
220,BRM Taylor (ZIM),2018-2020,17,315,59*,19.68,0,-,-,-,-,9,1,-
221,LJ Tucker (IRE),2016-2020,17,130,22*,10,0,-,-,-,-,10,0,-
222,T van der Gugten (NL),2017-2019,17,75,40*,18.75,0,17,03-Sep,23.58,0,7,0,-4.83
223,HR Walsh (USA/WI),2019-2020,17,128,28,16,0,11,Feb-21,29.09,0,3,0,-13.09
224,CAK Walton (WI),2016-2018,17,216,40,14.4,0,-,-,-,-,12,2,-
225,Amir Hamza (AFG),2016-2021,16,31,21,15.5,0,13,Feb-15,28.61,0,0,0,-13.11
226,N Davin (NAM),2019-2019,16,335,54,22.33,0,-,-,-,-,11,0,-
227,PWH de Silva (SL),2019-2021,16,154,44,19.25,0,24,03-Dec,14,0,5,0,5.25
228,MG Erasmus (NAM),2019-2019,16,407,72,37,0,12,03-Dec,14.25,0,11,0,22.75
229,AC Evans (SCOT),2018-2019,16,0,0,0,0,22,Mar-23,21.09,0,3,0,-21.09
230,ZE Green (NAM),2019-2019,16,79,18*,9.87,0,-,-,-,-,10,5,-
231,AW Hawkins-Kay (JER),2019-2019,16,122,27*,15.25,0,14,Apr-14,19,0,7,0,-3.74
232,JO Holder (WI),2017-2021,16,161,29*,17.88,0,11,Feb-23,44.09,0,9,0,-26.2
233,H Klaasen (SA),2018-2021,16,300,69,23.07,0,0,-,-,0,11,1,-
234,SC Kuggeleijn (NZ),2019-2020,16,79,35*,19.75,0,13,Mar-27,33.38,0,5,0,-13.63
235,G Malla (NEPAL),2018-2020,16,403,107,28.78,1,-,-,-,-,11,0,-
236,Mohammad Boota (UAE),2019-2019,16,112,20*,14,0,1,Jan-13,13,0,3,1,1
237,JDS Neesham (NZ),2017-2021,16,222,48*,27.75,0,7,02-Oct,35.85,0,5,0,-8.1
238,L Ngidi (SA),2017-2020,16,7,4,2.33,0,28,Apr-19,17.03,0,2,0,-14.7
239,N Pokana (PNG),2019-2019,16,10,7*,10,0,17,Mar-21,17.52,0,4,0,-7.52
240,Rubel Hossain (BDESH),2017-2018,16,9,2*,2.25,0,21,Mar-31,26.95,0,0,0,-24.7
241,Suraj Kumar (OMAN),2019-2020,16,105,42*,13.12,0,-,-,-,-,7,2,-
242,Tamoor Sajjad (QAT),2019-2020,16,380,68,34.54,0,18,03-Nov,22.11,0,13,0,12.43
243,WU Tharanga (SL),2017-2018,16,276,47,18.4,0,-,-,-,-,1,0,-
244,S Chandramohan (SGP),2019-2020,15,436,66,31.14,0,-,-,-,-,15,0,-
245,NM Coulter-Nile (AUS),2016-2019,15,100,34,14.28,0,14,Mar-18,28.71,0,7,0,-14.42
246,PJ Cummins (AUS),2017-2020,15,23,13*,23,0,16,Feb-13,23,0,6,0,0
247,Faisal Javed (QAT),2019-2019,15,330,61,22,0,-,-,-,-,5,0,-
248,Fareed Ahmad (AFG),2016-2021,15,24,24*,-,0,20,Mar-35,21.8,0,1,0,-
249,N Pradeep (SL),2016-2021,15,10,8*,10,0,15,Apr-25,27.53,0,2,0,-17.53
250,WIA Fernando (SL),2019-2020,15,195,37,13.92,0,-,-,-,-,4,0,-
251,CH Gayle (WI),2016-2021,15,150,40,11.53,0,2,Feb-17,8.5,0,3,0,3.03
252,SC Getkate (IRE),2019-2020,15,92,24,8.36,0,8,Feb-15,40.37,0,3,0,-32.01
253,Hazratullah Zazai (AFG),2016-2020,15,570,162*,40.71,1,-,-,-,-,2,0,-
254,Imran Tahir (SA/World),2016-2019,15,2,1*,2,0,26,May-23,14.23,2,4,0,-12.23
255,Janak Prakash (SGP),2019-2020,15,118,25*,14.75,0,17,Mar-15,21.29,0,9,0,-6.54
256,Manpreet Singh (SGP),2019-2020,15,312,42*,26,0,-,-,-,-,7,6,-
257,AD Mathews (SL),2016-2021,15,265,73*,22.08,0,4,Feb-27,68,0,3,0,-45.91
258,Mohammad Saifuddin (BDESH),2017-2020,15,108,39*,18,0,14,Apr-33,31.07,0,3,0,-13.07
259,PJ Moor (ZIM),2016-2019,15,301,92*,25.08,0,-,-,-,-,4,0,-
260,CH Morris (SA),2016-2019,15,105,55*,17.5,0,23,Apr-27,19.21,0,2,0,-1.71
261,Muhammad Kashif (KUW),2019-2020,15,248,53,31,0,12,Mar-30,19.66,0,3,0,11.33
262,CW Perchard (JER),2019-2019,15,28,12,9.33,0,20,May-17,13.75,1,6,0,-4.41
263,SW Poynter (IRE),2017-2019,15,158,39,22.57,0,-,-,-,-,8,1,-
264,R Sandaruwan (KUW),2019-2020,15,577,103,44.38,1,-,-,-,-,2,0,-
265,Sandeep Goud (OMAN),2019-2020,15,89,31*,17.8,0,2,Feb-36,24,0,5,0,-6.19
266,MA Starc (AUS),2016-2020,15,12,7*,12,0,21,Mar-23,19.19,0,7,0,-7.19
267,O Thomas (WI),2018-2020,15,8,8*,4,0,18,May-28,24.72,1,1,0,-20.72
268,Waheed Ahmed (UAE),2019-2020,15,141,45*,20.14,0,11,Mar-21,23.36,0,2,0,-3.22
269,Aarif Sheikh (NEPAL),2018-2020,14,209,39*,20.9,0,-,-,-,-,6,0,-
270,KK Ahmed (INDIA),2018-2019,14,1,1*,-,0,13,Feb-27,35.3,0,3,0,-
