,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,hundred,fifties,duck,fours,sixes
839,Azyan Farhath (Mald),2019-2019,2,2,1,24,22*,24,22,109.09,0,0,0,2,0
840,MO Bacarese (GIBR),2019-2019,3,2,0,24,13,12,37,64.86,0,0,0,0,1
841,Fareed Ahmad (AFG),2016-2021,15,1,1,24,24*,-,15,160,0,0,0,4,0
842,Jagjit Singh (Peru),2019-2019,4,4,0,24,12,6,30,80,0,0,0,1,0
843,Kaleemullah (OMAN),2017-2020,8,3,0,24,15,8,14,171.42,0,0,1,0,3
844,S Lamichhane (ICC/NEPAL),2018-2020,21,10,4,24,9,4,34,70.58,0,0,2,1,0
845,Nurul Hasan (BDESH),2017-2017,3,3,2,24,10,24,20,120,0,0,0,2,0
846,C Zhuwao (ZIM),2018-2018,2,2,0,24,24,12,27,88.88,0,0,1,3,1
847,DL Brangman (BMUDA),2019-2019,5,4,2,23,23*,11.5,25,92,0,0,2,2,1
848,M Cope (LUX),2019-2020,6,5,3,23,13,11.5,33,69.69,0,0,0,3,0
849,PJ Cummins (AUS),2017-2020,15,5,4,23,13*,23,11,209.09,0,0,0,2,1
850,C Floyd (NL),2019-2019,2,2,1,23,21,23,23,100,0,0,0,2,1
851,Hardev Singh (Chile),2019-2019,3,3,0,23,17,7.66,48,47.91,0,0,0,1,0
852,Ibrahim Rizan (Mald),2019-2020,8,6,3,23,9*,7.66,33,69.69,0,0,0,2,0
853,RK Inampud (Mex),2019-2019,3,3,2,23,17*,23,28,82.14,0,0,0,0,1
854,JB Little (IRE),2016-2020,17,8,3,23,7,4.6,28,82.14,0,0,2,3,0
855,N Master (Botsw),2019-2019,2,2,0,23,21,11.5,18,127.77,0,0,0,4,0
856,VM Sachdev (PNM),2019-2019,2,2,1,23,12*,23,31,74.19,0,0,0,2,0
857,S Sohal (USA),2019-2019,3,2,0,23,18,11.5,29,79.31,0,0,0,1,1
858,Aminul Islam (BDESH),2019-2020,7,4,3,22,9,22,18,122.22,0,0,0,4,0
859,DNA Ankrah (Ghana),2019-2019,4,3,0,22,12,7.33,43,51.16,0,0,0,2,0
860,OO Bascome (BMUDA),2019-2019,2,2,0,22,16,11,23,95.65,0,0,0,3,0
861,PC de Silva (SL),2017-2017,2,2,0,22,21,11,22,100,0,0,0,1,0
862,CB Mpofu (ZIM),2018-2020,12,6,4,22,17*,11,31,70.96,0,0,1,3,0
863,AK Muslar (Blz),2019-2019,3,3,0,22,13,7.33,27,81.48,0,0,1,1,2
864,D Nikolov (BUL),2019-2020,7,4,1,22,13,7.33,47,46.8,0,0,0,2,0
865,BB Chari (ZIM),2019-2019,3,3,0,21,19,7,31,67.74,0,0,1,4,0
866,Imam-ul-Haq (PAK),2019-2019,2,2,0,21,14,10.5,25,84,0,0,0,2,0
867,Karweng NG (PHI),2019-2019,4,3,0,21,14,7,30,70,0,0,0,0,1
868,LD Madushanka (SL),2019-2019,2,2,0,21,20,10.5,26,80.76,0,0,0,1,0
869,C Mahoney (Peru),2019-2019,3,1,0,21,21,21,27,77.77,0,0,0,1,0
870,S Murari (CRC),2019-2019,3,3,1,21,16,10.5,20,105,0,0,0,2,0
871,PM Nevill (AUS),2016-2016,6,4,4,21,10*,-,6,350,0,0,0,1,2
872,SF Tiai (Samoa),2019-2019,4,3,0,21,11,7,22,95.45,0,0,1,2,0
873,E Ul Haq (NOR),2019-2019,5,5,0,21,10,4.2,36,58.33,0,0,0,2,0
874,CA Young (IRE),2016-2020,22,8,5,21,8,7,28,75,0,0,0,2,0
875,Ainool Haqqiem (MAL),2019-2019,4,2,1,20,12,20,20,100,0,0,0,1,0
876,Amar Sharma (MLT),2020-2020,3,1,0,20,20,20,16,125,0,0,0,1,1
877,PW Borren (NL),2017-2017,3,3,0,20,15,6.66,19,105.26,0,0,1,2,0
878,KK Flowers (Blz),2019-2019,3,3,1,20,17,10,33,60.6,0,0,1,3,0
879,Z Groenewald (NAM),2019-2019,10,4,1,20,13,6.66,35,57.14,0,0,0,0,0
880,R Heyns (LUX),2020-2020,2,1,0,20,20,20,16,125,0,0,0,3,1
881,Kuldeep Yadav (INDIA),2017-2020,21,2,1,20,16,20,20,100,0,0,0,2,0
882,Mahedi Hasan (BDESH),2018-2020,4,2,0,20,11,10,23,86.95,0,0,0,1,1
883,Mashrafe Mortaza (BDESH),2016-2017,8,6,1,20,9*,4,21,95.23,0,0,1,1,1
884,Naiem Bameri (Iran),2020-2020,3,3,0,20,10,6.66,57,35.08,0,0,0,0,0
885,PADLR Sandakan (SL),2017-2021,19,6,3,20,10,6.66,27,74.07,0,0,0,2,0
886,JRMVB Sanjaya (SL),2017-2017,8,5,2,20,6,6.66,18,111.11,0,0,0,3,0
887,JOP Scamans (Fin),2019-2019,2,2,1,20,12*,20,19,105.26,0,0,0,1,0
888,A Uniyal (Chile),2019-2019,3,3,1,20,16*,10,23,86.95,0,0,0,2,0
889,C Waiswa (UGA),2019-2020,7,2,1,20,14*,20,14,142.85,0,0,0,1,1
890,V Aravind (UAE),2020-2020,5,2,0,19,18,9.5,27,70.37,0,0,0,2,0
891,Aziz Mohammad (Belg),2019-2019,3,3,1,19,19,9.5,25,76,0,0,1,0,2
892,S Badree (WI/World),2016-2018,29,11,7,19,7,4.75,29,65.51,0,0,0,0,1
893,Bilal Ahmed (Serb),2019-2019,1,1,0,19,19,19,28,67.85,0,0,0,1,1
894,CJ Dala (SA),2018-2021,10,4,3,19,12*,19,28,67.85,0,0,0,1,0
895,P Danci (ROM),2019-2020,4,3,1,19,12,9.5,26,73.07,0,0,0,3,0
896,P Florin (ROM),2019-2020,8,4,1,19,14,6.33,22,86.36,0,0,1,2,0
897,Irfan Mir (Chile),2019-2019,4,3,2,19,18*,19,7,271.42,0,0,1,0,2
898,Jaspreet Singh (ITA),2019-2019,5,2,0,19,11,9.5,23,82.6,0,0,0,1,0
899,Junaid Sheikh (NOR),2019-2019,5,3,0,19,9,6.33,20,95,0,0,0,1,1
900,Mohammad Ahsan (KUW),2019-2019,6,3,0,19,8,6.33,20,95,0,0,0,0,1
901,SN Netravalkar (USA),2019-2019,8,2,1,19,12,19,15,126.66,0,0,0,1,1
902,HM Nicholls (NZ),2016-2019,5,4,0,19,7,4.75,28,67.85,0,0,0,2,0
903,F Nsubuga (UGA),2019-2020,6,4,1,19,9,6.33,19,100,0,0,0,0,2
904,AE Paraam (SGP),2019-2019,3,2,1,19,10,19,10,190,0,0,0,2,1
905,RLB Rambukwella (SL),2016-2016,1,1,0,19,19,19,16,118.75,0,0,0,1,1
906,Sayed Monib (KUW),2020-2020,5,2,0,19,11,9.5,10,190,0,0,0,1,2
907,L Shafeeg (Mald),2019-2020,6,3,1,19,19*,9.5,17,111.76,0,0,2,2,1
908,ML Udawatte (SL),2017-2017,3,3,0,19,11,6.33,23,82.6,0,0,1,2,0
909,KOK Williams (WI),2016-2020,26,7,4,19,13*,6.33,17,111.76,0,0,1,1,1
910,N Yordanov (BUL),2019-2019,2,2,1,19,19*,19,11,172.72,0,0,1,0,2
911,JD Baker (Samoa),2019-2019,4,3,3,18,11*,-,14,128.57,0,0,0,3,0
912,V Baskaran (SGP),2019-2020,13,5,3,18,14*,9,23,78.26,0,0,1,0,0
913,Bilal Khan (OMAN),2017-2020,23,8,6,18,6*,9,27,66.66,0,0,1,1,0
914,LA Collado (GIBR),2019-2019,4,3,2,18,8,18,34,52.94,0,0,0,0,0
915,AK Markram (SA),2019-2019,2,2,0,18,15,9,17,105.88,0,0,0,1,1
916,Mohammad Amir (PAK),2016-2020,24,6,3,18,9*,6,21,85.71,0,0,1,1,1
917,Nazmul Islam (BDESH),2018-2018,13,4,3,18,7,18,17,105.88,0,0,0,2,0
918,GH O'Brien (BMUDA),2019-2019,8,3,1,18,7,9,22,81.81,0,0,0,1,1
919,P Suanchuai (THAI),2020-2020,4,4,1,18,13*,6,36,50,0,0,1,0,1
920,S Snater (NL),2018-2019,13,6,1,18,10,3.6,16,112.5,0,0,2,0,1
921,Sultan Ahmed (OMAN),2017-2017,4,3,1,18,17,9,15,120,0,0,0,2,0
922,HN Ya France (NAM),2019-2019,6,3,0,18,13,6,20,90,0,0,1,1,1
923,Awais Malik (QAT),2019-2020,18,7,0,17,9,2.42,27,62.96,0,0,3,1,0
924,TA Blundell (NZ),2017-2018,3,2,1,17,14,17,21,80.95,0,0,0,0,0
925,A Bohara (NEPAL),2019-2020,20,7,3,17,12,4.25,19,89.47,0,0,2,1,1
926,C Carter (HKG),2016-2017,3,1,0,17,17,17,21,80.95,0,0,0,0,0
927,PVD Chameera (SL),2016-2021,11,5,1,17,12,4.25,22,77.27,0,0,1,2,0
928,SS Cottrell (WI),2018-2020,24,8,5,17,4*,5.66,27,62.96,0,0,0,2,0
929,LA Dawson (ENG),2016-2018,6,2,1,17,10,17,8,212.5,0,0,0,2,1
930,RR Emrit (WI),2018-2018,4,3,0,17,11,5.66,27,62.96,0,0,0,0,1
931,D Gim (NGA),2019-2019,6,4,2,17,9*,8.5,32,53.12,0,0,1,0,0
932,Khurram Shahzad (QAT),2020-2020,7,5,1,17,10,4.25,29,58.62,0,0,0,2,0
933,S Kizilkaya (TKY),2019-2019,4,4,0,17,8,4.25,28,60.71,0,0,1,3,0
934,L Louwrens (NAM),2019-2019,1,1,1,17,17*,-,15,113.33,0,0,0,1,1
935,MJ McClenaghan (ICC/NZ),2016-2018,5,3,1,17,10,8.5,11,154.54,0,0,0,0,2
936,JH Mensah (Ghana),2019-2019,2,2,0,17,16,8.5,10,170,0,0,0,1,1
937,TK Patel (USA),2019-2019,7,3,3,17,14*,-,18,94.44,0,0,0,1,0
938,AM Phangiso (SA),2016-2018,7,2,0,17,13,8.5,24,70.83,0,0,0,1,0
939,K Pierre (WI),2018-2020,10,5,3,17,9*,8.5,23,73.91,0,0,0,2,0
940,GR Russ (PHI),2019-2019,3,2,1,17,10,17,29,58.62,0,0,0,0,0
941,Shafraz Jaleel (Mald),2019-2019,4,3,0,17,17,5.66,14,121.42,0,0,2,1,1
942,JR Singleton (),2019-2019,3,3,0,17,7,5.66,26,65.38,0,0,0,3,0
943,T Singye (BHU),2019-2019,2,2,0,17,11,8.5,25,68,0,0,0,2,0
944,Usman Ali (Saudi),2019-2020,8,3,1,17,8,8.5,25,68,0,0,0,1,0
945,OR Willis (Caym),2019-2019,3,3,0,17,15,5.66,32,53.12,0,0,0,0,1
946,Zain ul Tashnam (CRC),2019-2019,3,2,1,17,11,17,26,65.38,0,0,0,1,0
947,IKO Aboagye (Ghana),2019-2019,4,4,0,16,7,4,37,43.24,0,0,1,0,0
948,P Arrighi (Arg),2019-2019,5,4,0,16,11,4,46,34.78,0,0,1,0,0
949,R Ashwin (INDIA),2016-2017,7,2,2,16,11*,-,9,177.77,0,0,0,2,0
950,KK Bishnoi (),2019-2019,3,2,1,16,14,16,18,88.88,0,0,0,1,0
951,TA Boult (NZ),2017-2021,23,6,5,16,8,16,16,100,0,0,0,2,0
952,M Chauhan (Fin),2019-2019,2,2,0,16,15,8,8,200,0,0,0,0,2
953,U Dorji (BHU),2019-2019,2,2,0,16,8,8,17,94.11,0,0,0,2,0
954,S Gajjar (CZK-R),2020-2020,3,3,1,16,14,8,22,72.72,0,0,1,1,0
955,LF Goncalves (),2019-2019,3,2,0,16,13,8,21,76.19,0,0,0,1,0
956,EH Hutchinson (USA),2019-2019,2,1,0,16,16,16,8,200,0,0,0,3,0
957,LS Livingstone (ENG),2017-2017,2,2,0,16,16,8,19,84.21,0,0,1,1,0
958,K Modise (Botsw),2019-2019,3,3,0,16,10,5.33,16,100,0,0,1,2,1
959,Najmul Hossain Shanto (BDESH),2019-2019,2,2,0,16,11,8,17,94.11,0,0,0,1,0
960,BV Save (MAL),2020-2020,2,2,0,16,9,8,17,94.11,0,0,0,3,0
961,Sarfraz Butt (Saudi),2020-2020,3,1,0,16,16,16,20,80,0,0,0,2,0
962,Aamer Yamin (PAK),2018-2018,1,1,1,15,15*,-,6,250,0,0,0,1,1
963,Abdul Majid (BHR),2020-2020,4,3,2,15,12,15,13,115.38,0,0,0,2,0
964,Anowarul Islam (THAI),2019-2019,4,4,0,15,9,3.75,20,75,0,0,1,1,1
965,K Christie (HKG),2019-2019,11,4,2,15,11*,7.5,20,75,0,0,0,0,0
966,GL Cloete (SA),2018-2019,2,2,0,15,13,7.5,15,100,0,0,0,2,0
967,N Dutta (CAN),2019-2019,11,3,2,15,12,15,13,115.38,0,0,0,1,0
968,KR Ebanks (Caym),2019-2019,5,4,0,15,8,3.75,27,55.55,0,0,1,1,0
969,Hamed Khan (HKG),2020-2020,3,3,0,15,10,5,19,78.94,0,0,1,2,0
970,J Hill (PHI),2019-2019,4,3,0,15,6,5,20,75,0,0,0,3,0
971,AC Kose (TKY),2019-2019,4,4,0,15,15,3.75,33,45.45,0,0,3,3,0
972,N Nankov (BUL),2019-2020,4,3,1,15,14,7.5,25,60,0,0,0,1,0
973,Nasrulla Rana (HKG),2019-2020,11,6,2,15,7,3.75,26,57.69,0,0,3,0,0
974,NM Odhiambo (KENYA),2019-2019,8,3,0,15,10,5,22,68.18,0,0,1,0,0
975,RN Patel (KENYA),2019-2019,2,2,1,15,15*,15,25,60,0,0,1,1,0
976,DA Rankin (IRE),2016-2016,1,1,0,15,15,15,17,88.23,0,0,0,1,1
977,Shoaib Ali (Saudi),2019-2020,8,3,0,15,9,5,21,71.42,0,0,1,2,0
978,MJ Swepson (AUS),2018-2020,4,2,2,15,12*,-,9,166.66,0,0,0,1,1
979,Usama Master (MWI),2019-2019,6,2,0,15,15,7.5,13,115.38,0,0,1,1,0
980,Vikramjit Singh (NL),2019-2019,1,1,0,15,15,15,13,115.38,0,0,0,1,0
981,Ahsan Malik (NL),2017-2017,3,2,1,14,11*,14,12,116.66,0,0,0,0,1
982,CM Akachukwu (NGA),2019-2019,8,5,3,14,8,7,15,93.33,0,0,0,0,1
983,Ansh Tandon (UAE),2020-2020,1,1,0,14,14,14,9,155.55,0,0,0,3,0
984,G Dutta (Mex),2019-2019,7,6,0,14,8,2.33,28,50,0,0,3,1,0
985,Ibrahim Zadran (AFG),2019-2019,3,3,0,14,11,4.66,26,53.84,0,0,0,0,1
986,P Jayeshbhai Patel (PNM),2019-2019,2,2,1,14,8*,14,11,127.27,0,0,0,0,0
987,T Langa (VAN),2019-2019,1,1,0,14,14,14,9,155.55,0,0,0,2,0
988,A Manepalli (LUX),2020-2020,2,2,0,14,8,7,13,107.69,0,0,0,1,0
989,WP Masakadza (ZIM),2018-2020,6,2,0,14,11,7,11,127.27,0,0,0,2,0
990,JWN Moses (Botsw),2019-2019,3,3,0,14,9,4.66,20,70,0,0,0,0,1
991,S Pillai (CRC),2019-2019,3,3,0,14,6,4.66,27,51.85,0,0,0,1,0
992,C Prasad (CRC),2019-2019,3,3,1,14,11,7,29,48.27,0,0,1,1,0
993,Rakibul Hasan (ITA),2019-2019,8,4,1,14,5*,4.66,17,82.35,0,0,1,1,0
994,Shahzad Muhammad (Mex),2019-2019,2,1,0,14,14,14,7,200,0,0,0,1,1
995,Sherul Mehta (Belg),2020-2020,1,1,0,14,14,14,16,87.5,0,0,0,2,0
996,S Smith (BMUDA),2019-2019,5,3,3,14,7*,-,27,51.85,0,0,0,0,0
997,S Varathappan (KUW),2019-2019,3,3,0,14,9,4.66,14,100,0,0,1,3,0
998,Abdullah Sheikh (NOR),2019-2019,2,2,0,13,11,6.5,18,72.22,0,0,0,1,0
999,G Burrows (IOM),2020-2020,1,1,0,13,13,13,16,81.25,0,0,0,1,0
1000,WJ Cope (LUX),2020-2020,4,3,2,13,11,13,10,130,0,0,0,1,0
1001,JA Fitzgerald (GIBR),2019-2019,4,2,2,13,11*,-,10,130,0,0,0,0,1
1002,ST Kanakalil (MLT),2020-2020,3,1,1,13,13*,-,6,216.66,0,0,0,2,0
1003,Lucky Ali (DEN),2019-2019,2,2,0,13,7,6.5,18,72.22,0,0,0,1,0
1004,JL Martel (GUE),2019-2019,3,1,1,13,13*,-,6,216.66,0,0,0,1,1
1005,P Masih (ROM),2020-2020,3,1,0,13,13,13,18,72.22,0,0,0,0,0
1006,Muhammad Hamayun (Saudi),2019-2019,4,2,0,13,8,6.5,10,130,0,0,0,1,1
1007,HC Overdijk (NL),2018-2019,4,1,0,13,13,13,7,185.71,0,0,0,2,0
1008,SMSM Senanayake (SL),2016-2016,2,2,2,13,7*,-,14,92.85,0,0,0,1,0
1009,OFJ Tonuu (Samoa),2019-2019,4,3,1,13,6*,6.5,18,72.22,0,0,0,0,0
1010,S Vashisht (ROM),2019-2020,6,3,2,13,9*,13,14,92.85,0,0,0,1,0
1011,SA Abbott (AUS),2019-2020,4,1,1,12,12*,-,8,150,0,0,0,0,1
1012,F Achelam (UGA),2019-2020,4,3,2,12,7,12,25,48,0,0,0,0,1
1013,Arslan Ahmed (PORT),2019-2019,3,3,0,12,11,4,32,37.5,0,0,1,1,0
1014,Asad Mohammad (GER),2019-2020,10,4,1,12,5,4,12,100,0,0,0,2,0
1015,Avi Dixit (SGP),2019-2019,1,1,1,12,12*,-,8,150,0,0,0,0,1
1016,Fazal Niazai (AFG),2019-2019,1,1,0,12,12,12,15,80,0,0,0,1,0
1017,CJ Gannon (USA),2019-2019,4,3,2,12,7*,12,9,133.33,0,0,0,0,1
1018,R Gaznavi (SGP),2019-2020,5,3,0,12,8,4,12,100,0,0,1,2,0
1019,H Helva (TKY),2019-2019,4,4,0,12,7,3,25,48,0,0,2,2,0
1020,D Mejia (CRC),2019-2019,3,1,0,12,12,12,10,120,0,0,0,2,0
1021,Muhammad Muneeb (Belg),2020-2020,4,4,0,12,6,3,21,57.14,0,0,2,2,0
1022,Nader Zahadiafzal (Iran),2020-2020,3,3,0,12,12,4,24,50,0,0,2,2,0
1023,A Patel (MWI),2019-2019,2,2,1,12,6*,12,23,52.17,0,0,0,2,0
1024,M Patel (Chile),2019-2019,3,3,0,12,8,4,15,80,0,0,1,1,1
1025,Raag Kapur (HKG),2019-2019,4,3,1,12,6,6,16,75,0,0,0,1,0
1026,MA Starc (AUS),2016-2020,15,4,3,12,7*,12,8,150,0,0,0,0,1
1027,Taskin Ahmed (BDESH),2017-2018,6,3,1,12,8*,6,13,92.3,0,0,1,2,0
1028,Ali Ivan (Mald),2019-2019,1,1,0,11,11,11,39,28.2,0,0,0,0,0
1029,Apon Mustafizur (Serb),2019-2019,2,2,0,11,11,5.5,28,39.28,0,0,1,2,0
1030,Atif Kamal (LUX),2019-2019,4,3,0,11,11,3.66,18,61.11,0,0,2,1,0
1031,D Bishoo (WI),2019-2019,2,2,1,11,8,11,23,47.82,0,0,0,1,0
1032,A Bulow (DEN),2019-2019,2,1,0,11,11,11,13,84.61,0,0,0,0,1
1033,JD Campbell (WI),2019-2019,2,2,0,11,11,5.5,16,68.75,0,0,1,2,0
1034,AG Cremer (ZIM),2016-2018,5,3,0,11,4,3.66,20,55,0,0,0,0,0
1035,A Djorovic (Serb),2019-2019,2,2,0,11,9,5.5,26,42.3,0,0,0,1,0
1036,S Goustis (),2019-2019,3,1,0,11,11,11,19,57.89,0,0,0,0,0
1037,IGTR Kumara (Mald),2020-2020,3,3,0,11,5,3.66,37,29.72,0,0,0,1,0
1038,WJ Malinda (Mald),2019-2019,3,2,1,11,10*,11,9,122.22,0,0,0,0,1
1039,D Marks (MLT),2019-2019,2,2,2,11,6*,-,12,91.66,0,0,0,0,0
1040,J Reb (Serb),2019-2019,2,2,0,11,9,5.5,14,78.57,0,0,0,1,0
1041,NA Saini (INDIA),2019-2020,10,2,2,11,11*,-,10,110,0,0,0,2,0
1042,Saqlain Arshad (QAT),2019-2019,2,1,0,11,11,11,10,110,0,0,0,0,1
1043,M Shumba (ZIM),2020-2020,1,1,0,11,11,11,12,91.66,0,0,0,0,1
1044,Suresh Kumar (Peru),2019-2019,2,2,1,11,10*,11,15,73.33,0,0,0,0,0
1045,P Taylor (CZK-R),2019-2019,7,2,1,11,7*,11,9,122.22,0,0,0,1,0
1046,H Thaker (CAN),2019-2019,1,1,0,11,11,11,9,122.22,0,0,0,0,1
1047,W Uisuk (THAI),2020-2020,4,4,0,11,5,2.75,40,27.5,0,0,0,1,0
1048,TCW Veillard (GUE),2019-2019,4,2,1,11,8,11,17,64.7,0,0,0,0,0
1049,Aftab Ahmed (2) (DEN),2019-2019,1,1,0,10,10,10,13,76.92,0,0,0,1,0
1050,Aftab Kayani (ROM),2020-2020,1,1,0,10,10,10,13,76.92,0,0,0,0,0
1051,Asif Bevinje (ROM),2020-2020,3,2,0,10,8,5,17,58.82,0,0,0,0,0
1052,R Avery (),2019-2019,4,3,0,10,9,3.33,24,41.66,0,0,1,0,0
1053,N Pradeep (SL),2016-2021,15,6,5,10,8*,10,15,66.66,0,0,1,1,0
1054,S Hallett (Peru),2019-2019,4,4,0,10,5,2.5,16,62.5,0,0,1,1,0
1055,G Kaltongga (VAN),2019-2019,3,2,0,10,10,5,12,83.33,0,0,1,1,0
1056,MF Maharoof (SL),2016-2016,1,1,0,10,10,10,16,62.5,0,0,0,0,0
1057,ZE Matsinhe (Moz),2019-2019,7,4,1,10,6*,3.33,17,58.82,0,0,1,0,1
1058,BMAJ Mendis (SL),2018-2018,6,3,1,10,6*,5,16,62.5,0,0,0,0,1
1059,Mohammad Ghazanfar (HKG),2019-2019,5,2,1,10,6*,10,10,100,0,0,0,1,0
1060,S Nerandzic (Serb),2019-2019,2,2,0,10,5,5,33,30.3,0,0,0,1,0
1061,WD Parnell (SA),2017-2017,5,4,3,10,4*,10,11,90.9,0,0,0,1,0
1062,SL Perera (Ghana),2019-2019,2,2,0,10,7,5,23,43.47,0,0,0,0,0
1063,N Pokana (PNG),2019-2019,16,5,4,10,7*,10,11,90.9,0,0,0,0,0
1064,SHA Rance (NZ),2017-2019,8,3,0,10,8,3.33,21,47.61,0,0,0,0,0
1065,A Rangaswamy (Botsw),2019-2019,4,3,0,10,7,3.33,13,76.92,0,0,1,0,1
1066,D Ravu (PNG),2019-2019,17,4,1,10,6,3.33,9,111.11,0,0,1,1,0
1067,GA Reynold (Blz),2019-2019,3,2,1,10,6*,10,10,100,0,0,0,0,1
1068,Sami Ullah (ROM),2020-2020,1,1,0,10,10,10,9,111.11,0,0,0,1,0
1069,Shaheen Shah Afridi (PAK),2018-2021,21,2,2,10,10*,-,7,142.85,0,0,0,0,1
1070,Syazrul Idrus (MAL),2019-2020,10,3,1,10,9*,5,14,71.42,0,0,1,1,0
1071,MA Wood (ENG),2017-2021,12,2,2,10,5*,-,12,83.33,0,0,0,1,0
1072,Zahoor Khan (UAE),2017-2020,22,6,2,10,6,2.5,20,50,0,0,1,1,0
1073,Zakir Hasan (BDESH),2018-2018,1,1,0,10,10,10,9,111.11,0,0,0,1,0
1074,Abdul Rashid (Belg),2019-2019,1,1,0,9,9,9,24,37.5,0,0,0,0,0
1075,Anam Mollik (ITA),2019-2019,2,1,0,9,9,9,10,90,0,0,0,1,0
1076,P Arora (Mex),2019-2019,2,2,1,9,6*,9,4,225,0,0,0,0,1
1077,HH Banner (Blz),2019-2019,3,2,1,9,6,9,10,90,0,0,0,0,1
1078,T Bukenya (UGA),2020-2020,3,2,2,9,8*,-,9,100,0,0,0,0,1
1079,DT Christian (AUS),2017-2017,1,1,0,9,9,9,13,69.23,0,0,0,0,0
1080,Dawlat Zadran (AFG),2016-2019,6,3,1,9,9,4.5,7,128.57,0,0,1,0,1
1081,BM Duckett (ENG),2019-2019,1,1,0,9,9,9,7,128.57,0,0,0,1,0
1082,NA Janes (THAI),2019-2019,2,2,0,9,9,4.5,11,81.81,0,0,1,1,0
1083,N Knights (IOM),2020-2020,1,1,0,9,9,9,9,100,0,0,0,2,0
1084,JS Kundi (KENYA),2019-2019,6,4,0,9,6,2.25,22,40.9,0,0,1,1,0
1085,Muhammad Asjed (ESP),2019-2019,2,1,0,9,9,9,9,100,0,0,0,1,0
1086,Muhammad Wafiq (MAL),2019-2019,4,3,1,9,6*,4.5,12,75,0,0,1,1,0
1087,VRCF Poubel (),2019-2019,3,3,2,9,5*,9,15,60,0,0,0,0,0
1088,A Poulose (OMAN),2017-2017,3,3,0,9,9,3,14,64.28,0,0,2,2,0
1089,Rubel Hossain (BDESH),2017-2018,16,10,6,9,2*,2.25,17,52.94,0,0,3,0,0
1090,Sakib Hasan (Serb),2019-2019,2,2,0,9,8,4.5,7,128.57,0,0,0,1,0
1091,MM Sarwar (KUW),2019-2019,5,3,1,9,8,4.5,9,100,0,0,1,0,1
1092,RAJ Smith (SCOT),2019-2019,2,1,1,9,9*,-,7,128.57,0,0,0,1,0
1093,B Stanlake (AUS),2017-2019,19,2,1,9,7,9,12,75,0,0,0,0,1
1094,T Wangchuk jnr (BHU),2019-2019,2,2,0,9,9,4.5,17,52.94,0,0,1,2,0
1095,S Waqas Ahmed (NOR),2019-2019,5,3,1,9,8*,4.5,20,45,0,0,1,0,0
1096,Abbas Saad (Saudi),2019-2019,2,2,0,8,8,4,8,100,0,0,1,1,0
1097,Adil Butt (Saudi),2020-2020,3,2,1,8,6*,8,10,80,0,0,0,0,0
1098,S Appu (MLT),2019-2019,4,4,1,8,6,2.66,14,57.14,0,0,0,0,0
1099,B Banerjee (Mex),2019-2019,6,4,2,8,6*,4,19,42.1,0,0,2,0,0
1100,JJ Bumrah (INDIA),2016-2020,38,4,3,8,7,8,11,72.72,0,0,0,1,0
1101,Charanjeet Singh (ITA),2019-2019,3,2,2,8,8*,-,9,88.88,0,0,0,1,0
1102,H Dandapani (Fin),2019-2019,5,3,2,8,5,8,15,53.33,0,0,0,0,0
1103,JD Freyone (GIBR),2019-2019,4,4,0,8,4,2,29,27.58,0,0,2,0,0
1104,Habib Ahmadzai (Aut),2019-2019,2,2,1,8,6*,8,10,80,0,0,0,1,0
1105,Hamza Dar (ESP),2019-2019,1,1,0,8,8,8,6,133.33,0,0,0,1,0
1106,E Isaneez (UGA),2019-2019,3,2,2,8,7*,-,13,61.53,0,0,0,0,0
1107,TE Kane (IRE),2018-2019,2,1,0,8,8,8,3,266.66,0,0,0,2,0
1108,N Khanna (MLT),2019-2019,2,2,0,8,6,4,12,66.66,0,0,0,1,0
1109,Kuldeep Singh (PHI),2019-2019,4,3,0,8,6,2.66,16,50,0,0,0,0,0
1110,B Kumar (INDIA),2016-2021,32,5,3,8,3*,4,14,57.14,0,0,0,0,0
1111,CJ Langford (IOM),2020-2020,1,1,0,8,8,8,6,133.33,0,0,0,1,0
1112,NCK Liyanage (MAL),2019-2019,6,3,1,8,8,4,8,100,0,0,1,1,0
1113,M Mooketsi (Botsw),2019-2019,7,5,0,8,3,1.6,24,33.33,0,0,1,0,0
1114,Mujeeb Ur Rahman (AFG),2018-2020,19,3,3,8,8*,-,8,100,0,0,0,1,0
1115,WA Peatfield (GUE),2019-2020,9,2,1,8,7*,8,12,66.66,0,0,0,1,0
1116,S Rengarajan (CZK-R),2020-2020,3,2,2,8,6*,-,15,53.33,0,0,0,0,0
1117,N Senamontree (THAI),2020-2020,4,4,1,8,4,2.66,23,34.78,0,0,1,0,0
1118,Simranjit Singh (ITA),2019-2019,1,1,0,8,8,8,9,88.88,0,0,0,0,0
1119,L Sipamla (SA),2019-2021,9,2,1,8,8*,8,11,72.72,0,0,1,1,0
1120,HDRL Thirimanne (SL),2016-2016,3,3,0,8,5,2.66,13,61.53,0,0,1,1,0
1121,O Thomas (WI),2018-2020,15,5,3,8,8*,4,11,72.72,0,0,2,2,0
1122,R Vishwanath (LUX),2019-2019,2,2,0,8,5,4,10,80,0,0,0,1,0
1123,Yasar Idrees (KUW),2019-2019,1,1,0,8,8,8,4,200,0,0,0,0,1
1124,Abdul Shakoor (UAE),2019-2019,2,1,1,7,7*,-,6,116.66,0,0,0,1,0
