Player_name,NATIONALITY,team_name,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,hundred,fifties,duck,fours,sixes,dream_11_points,consistency
MPrasidhKrishna,IND,KKR,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RATripathi,IND,KKR,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSandeepWarrier,IND,KKR,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RinkuSingh,IND,KKR,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ShivamMavi,IND,KKR,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ShubmanGill,IND,KKR,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPNarine,INT,KKR,2016-2019,17.0,10.0,1,69.0,30,7.66,74,93.24,0.0,0.0,0.0,6.0,2.0,79.0,7.9
TimSeifert,INT,KKR,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CVVarun,IND,KKR,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ShakibAlHasan,INT,KKR,2016-2019,25.0,25.0,2,521.0,70*,22.65,411,126.76,0.0,3.0,1.0,56.0,9.0,617.0,24.68
SPJackson,IND,KKR,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VaibhavArora,IND,KKR,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KKNair,IND,KKR,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HarbhajanSingh,IND,KKR,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCJCutting,INT,KKR,2017-2017,3.0,2.0,1,5.0,5,5,4,125.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0
VenkateshIyer,IND,KKR,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PawanNegi,IND,KKR,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVSamson,IND,RR,2020-2020,6.0,6.0,0,64.0,23,10.66,46,139.13,0.0,0.0,0.0,2.0,4.0,76.0,12.666666666666666
